Codigo municipio,Municipio,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,provincia,promedio,total_Suma_ano,pueblociudad,p33,p66,consumoProvincia,dif1502
48045,Güeñes,3206.49,3211.66,3295.03,3559.47,3558.27,3662.59,4049.39,3958.4,4299.52,5435.77,5345.02,5343.07,5286.53,4879.89,Bizkaia,4220.792857142857,59091.1,Pueblo,3108.363542857143,6738.3684357142865,Medio,-1673.4000000000005
20034,Eskoriatza,24343.1,26404.62,27334.6,26727.62,30867.77,30190.14,26810.14,30076.88,31772.84,29682.03,30196.71,27323.29,28123.92,25979.69,Gipuzkoa,28273.81071428571,395833.35,Pueblo,4173.691992857142,9100.15910714286,Alto,-1636.5900000000001
20046,Irura,11438.3,11167.63,11138.22,11238.41,11039.21,10554.19,11903.62,15281.11,15847.61,15351.91,15070.71,15283.15,13370.82,13035.49,Gipuzkoa,12980.027142857141,181720.37999999998,Pueblo,4173.691992857142,9100.15910714286,Alto,-1597.1900000000005
48056,Lemoiz,2288.63,2386.38,2631.28,2979.63,2572.91,2620.58,2475.6,2558.55,2559.3,2569.35,4341.46,5183.26,3703.53,3783.69,Bizkaia,3046.725,42654.15,Pueblo,3108.363542857143,6738.3684357142865,Bajo,-1495.06
48072,Otxandio,4202.3,4350.83,4357.62,4199.78,4330.97,4330.62,4512.65,5455.31,5837.27,5321.34,5616.87,5666.85,5522.42,5661.59,Bizkaia,4954.744285714284,69366.41999999998,Pueblo,3108.363542857143,6738.3684357142865,Medio,-1459.29
48039,Garai,6111.18,6456.66,5164.86,6197.99,5544.79,6491.88,8257.44,7164.51,7428.52,7645.72,8183.54,8669.15,5266.69,7553.8,Bizkaia,6866.909285714285,96136.73,Pueblo,3108.363542857143,6738.3684357142865,Alto,-1442.62
48003,Amorebieta-Etxano,11817.98,11374.13,11298.3,11564.69,11367.16,11571.38,11101.44,14162.03,14282.98,14261.3,14104.71,13906.98,13453.65,13256.15,Bizkaia,12680.205714285714,177522.88,Pueblo,3108.363542857143,6738.3684357142865,Alto,-1438.17
48076,Sukarrieta,4648.63,4683.58,5048.18,4607.4,4779.73,5113.21,5113.65,5894.7,5736.38,5261.64,5569.98,5409.26,5746.22,5973.28,Bizkaia,5256.131428571427,73585.83999999998,Pueblo,3108.363542857143,6738.3684357142865,Medio,-1324.6499999999996
1042,Okondo,10414.84,10081.33,9119.08,9433.46,9762.66,9965.11,10583.37,13158.19,13484.56,13600.71,13531.73,11535.58,12039.39,11711.46,Álava,11315.819285714286,158421.47,Pueblo,4090.7342857142858,10106.95,Alto,-1296.619999999999
20063,Oiartzun,7092.85,6862.17,7068.54,7829.4,8132.67,8439.17,8228.82,8728.36,8793.72,8674.51,8139.91,8158.81,8116.75,8354.69,Gipuzkoa,8044.312142857142,112620.37,Pueblo,4173.691992857142,9100.15910714286,Medio,-1261.8400000000001
